loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second
1.109,0.22013162076473236,1.7853658536585367e-05,2.1317365269461077,88,,,,
,,,2.1317365269461077,88,1.1721137762069702,5.0748,29.361,3.744
1.2319,0.18764261901378632,1.782926829268293e-05,2.155688622754491,89,,,,
,,,2.155688622754491,89,1.1687829494476318,5.0762,29.353,3.743
1.0611,0.221743643283844,1.7804878048780488e-05,2.179640718562874,90,,,,
,,,2.179640718562874,90,1.1648175716400146,5.075,29.36,3.744
1.1065,0.2226656675338745,1.778048780487805e-05,2.2035928143712575,91,,,,
,,,2.2035928143712575,91,1.1608935594558716,5.0739,29.366,3.745
1.1473,0.2133599817752838,1.7756097560975612e-05,2.2275449101796405,92,,,,
,,,2.2275449101796405,92,1.1573264598846436,5.0742,29.364,3.744
1.1839,0.24216680228710175,1.773170731707317e-05,2.251497005988024,93,,,,
,,,2.251497005988024,93,1.155531883239746,5.0751,29.359,3.744
1.0951,0.2393391728401184,1.7707317073170733e-05,2.2754491017964074,94,,,,
,,,2.2754491017964074,94,1.1534078121185303,5.0769,29.349,3.742
1.1179,0.22012829780578613,1.7682926829268296e-05,2.2994011976047903,95,,,,
,,,2.2994011976047903,95,1.151080846786499,5.0757,29.355,3.743
1.1207,0.2546822130680084,1.7658536585365854e-05,2.3233532934131738,96,,,,
,,,2.3233532934131738,96,1.1477994918823242,5.0753,29.358,3.744
1.1179,0.28398600220680237,1.7634146341463417e-05,2.3473053892215567,97,,,,
,,,2.3473053892215567,97,1.1434868574142456,5.0736,29.368,3.745
1.0783,0.23397265374660492,1.760975609756098e-05,2.37125748502994,98,,,,
,,,2.37125748502994,98,1.1394116878509521,5.0749,29.36,3.744
1.1595,0.21303081512451172,1.7585365853658538e-05,2.3952095808383236,99,,,,
,,,2.3952095808383236,99,1.1361020803451538,5.0753,29.358,3.744
1.1401,0.25690311193466187,1.75609756097561e-05,2.4191616766467066,100,,,,
,,,2.4191616766467066,100,1.1319234371185303,5.0743,29.364,3.744
1.1357,0.2163955271244049,1.753658536585366e-05,2.44311377245509,101,,,,
,,,2.44311377245509,101,1.1289347410202026,5.0744,29.363,3.744
1.0845,0.2337455451488495,1.751219512195122e-05,2.467065868263473,102,,,,
,,,2.467065868263473,102,1.1247692108154297,5.0745,29.362,3.744
1.0823,0.24303969740867615,1.7487804878048783e-05,2.4910179640718564,103,,,,
,,,2.4910179640718564,103,1.1212739944458008,5.0741,29.365,3.745
1.1956,0.25711989402770996,1.7463414634146342e-05,2.5149700598802394,104,,,,
,,,2.5149700598802394,104,1.1178957223892212,5.074,29.365,3.745
1.0476,0.1927499771118164,1.7439024390243904e-05,2.538922155688623,105,,,,
,,,2.538922155688623,105,1.1154462099075317,5.0736,29.368,3.745
1.0443,0.3012218475341797,1.7414634146341466e-05,2.562874251497006,106,,,,
,,,2.562874251497006,106,1.1124205589294434,5.0741,29.365,3.745
1.1098,0.21962763369083405,1.7390243902439025e-05,2.586826347305389,107,,,,
,,,2.586826347305389,107,1.1100258827209473,5.0743,29.364,3.744
1.1059,0.2656886577606201,1.7365853658536587e-05,2.6107784431137726,108,,,,
,,,2.6107784431137726,108,1.1067630052566528,5.0737,29.367,3.745
1.0754,0.24553382396697998,1.7341463414634146e-05,2.6347305389221556,109,,,,
,,,2.6347305389221556,109,1.1037217378616333,5.0741,29.365,3.744
1.0791,0.22339050471782684,1.7317073170731708e-05,2.658682634730539,110,,,,
,,,2.658682634730539,110,1.1009137630462646,5.073,29.371,3.745
1.0266,0.21957077085971832,1.729268292682927e-05,2.682634730538922,111,,,,
,,,2.682634730538922,111,1.0980297327041626,5.0733,29.369,3.745
1.1378,0.22475586831569672,1.726829268292683e-05,2.7065868263473054,112,,,,
,,,2.7065868263473054,112,1.095738410949707,5.0733,29.369,3.745
1.0555,0.28393784165382385,1.724390243902439e-05,2.730538922155689,113,,,,
,,,2.730538922155689,113,1.0932260751724243,5.0736,29.368,3.745
1.0857,0.2326889932155609,1.7219512195121954e-05,2.754491017964072,114,,,,
,,,2.754491017964072,114,1.0900859832763672,5.0731,29.371,3.745
1.0695,0.2481844425201416,1.7195121951219512e-05,2.7784431137724552,115,,,,
,,,2.7784431137724552,115,1.087157130241394,5.0734,29.369,3.745
1.0013,0.22021158039569855,1.7170731707317075e-05,2.802395209580838,116,,,,
,,,2.802395209580838,116,1.0850622653961182,5.0743,29.364,3.744
1.0122,0.2102489322423935,1.7146341463414637e-05,2.8263473053892216,117,,,,
,,,2.8263473053892216,117,1.082492709159851,5.0736,29.368,3.745
1.1185,0.20968769490718842,1.7121951219512196e-05,2.8502994011976046,118,,,,
,,,2.8502994011976046,118,1.0804243087768555,5.0732,29.37,3.745
1.0755,0.24071574211120605,1.7097560975609758e-05,2.874251497005988,119,,,,
,,,2.874251497005988,119,1.0777299404144287,5.0744,29.363,3.744
1.0511,0.22140838205814362,1.7073170731707317e-05,2.8982035928143715,120,,,,
,,,2.8982035928143715,120,1.075072169303894,5.0733,29.369,3.745
0.9901,0.23761142790317535,1.704878048780488e-05,2.9221556886227544,121,,,,
,,,2.9221556886227544,121,1.0725477933883667,5.0743,29.364,3.744
1.0769,0.23226827383041382,1.702439024390244e-05,2.946107784431138,122,,,,
,,,2.946107784431138,122,1.0699574947357178,5.0742,29.364,3.744
1.111,0.3479155898094177,1.7e-05,2.970059880239521,123,,,,
,,,2.970059880239521,123,1.0671305656433105,5.0745,29.363,3.744
1.8377,0.5554986596107483,1.6975609756097562e-05,3.0059880239520957,124,,,,
,,,3.0059880239520957,124,1.0648502111434937,5.0746,29.362,3.744
1.0139,0.22341205179691315,1.6951219512195124e-05,3.029940119760479,125,,,,
,,,3.029940119760479,125,1.063145399093628,5.0749,29.36,3.744
0.9461,0.22394008934497833,1.6926829268292683e-05,3.053892215568862,126,,,,
,,,3.053892215568862,126,1.0614831447601318,5.0741,29.365,3.745
1.0078,0.2788097858428955,1.6902439024390245e-05,3.0778443113772456,127,,,,
,,,3.0778443113772456,127,1.0594710111618042,5.0746,29.362,3.744
1.0526,0.2773086428642273,1.6878048780487804e-05,3.1017964071856285,128,,,,
,,,3.1017964071856285,128,1.0571564435958862,5.0745,29.363,3.744
1.0367,0.22794775664806366,1.6853658536585366e-05,3.125748502994012,129,,,,
,,,3.125748502994012,129,1.0545530319213867,5.0746,29.362,3.744
1.0143,0.21664667129516602,1.682926829268293e-05,3.1497005988023954,130,,,,
,,,3.1497005988023954,130,1.051579236984253,5.0746,29.362,3.744
0.9771,0.22458575665950775,1.6804878048780487e-05,3.1736526946107784,131,,,,
,,,3.1736526946107784,131,1.0494670867919922,5.0743,29.364,3.744
1.0637,0.22698932886123657,1.678048780487805e-05,3.197604790419162,132,,,,
,,,3.197604790419162,132,1.0473030805587769,5.0739,29.366,3.745
1.0242,0.22626802325248718,1.6756097560975612e-05,3.2215568862275448,133,,,,
,,,3.2215568862275448,133,1.0448514223098755,5.0741,29.365,3.745
1.0049,0.21365877985954285,1.673170731707317e-05,3.245508982035928,134,,,,
,,,3.245508982035928,134,1.043464183807373,5.0739,29.366,3.745
0.9996,0.23566265404224396,1.6707317073170733e-05,3.269461077844311,135,,,,
